,TS_OX1_RS,TS_OX1_SM,TS_OX1_SCM,TS_OX1_IM
330,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
331,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
332,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
333,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
334,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
335,-18729.912235577045,-14311.862800992425,-14908.229181706522,-15159.02186178516
336,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
337,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
338,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
339,-18729.96975437377,-14298.361911753691,-14908.229181706522,-15159.02186178516
340,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
341,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
342,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
343,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
344,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
345,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.02186178516
346,-18769.997507022552,-14298.361911753691,-14908.229181706522,-15159.021861785164
347,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.021861785164
348,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.021861785164
349,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.021861785164
350,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.021861785164
351,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.021861785164
352,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.021861785164
353,-18729.912235577045,-14298.361911753691,-14908.229181706522,-15159.021861785164
354,-18729.912235577045,-14392.770078187545,-14908.229181706522,-15159.021861785164
355,-18729.912235577045,-14392.770078187545,-14908.229181706522,-15159.021861785164
356,-18730.85954961412,-14392.770078187545,-14908.229181706522,-15159.021861785164
357,-18730.85954961412,-14392.770078187545,-14908.229181706522,-15159.021861785164
358,-18732.517906821766,-14392.770078187545,-14908.229181706522,-15620.839769471997
359,-18730.85954961412,-14392.770078187545,-14908.229181706522,-15159.021861785164
360,-18730.85954961412,-14392.770078187545,-14908.229181706522,-15159.021861785164
